mouthpiece,boreLength,boreDiameter,boreWeight,numberOfHoles,distanceHole,diameterHole,hole,folder,soundPiece
"0,07","0,274","0,0115","0,004",6,"0,116","0,007",3,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL4
"0,07","0,274","0,0115","0,004",6,"0,093","0,007",4,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL5
"0,07","0,274","0,0115","0,004",6,"0,068","0,007",5,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL6
"0,07","0,274","0,0115","0,004",6,"0,036","0,007",6,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL7
"0,07","0,274","0,0115","0,004",6,1,0,0,,
"0,07","0,274","0,0115","0,004",6,1,"0,007",1,,
"0,07","0,274","0,0115","0,004",6,1,"0,007",2,,
"0,07","0,274","0,0115","0,004",6,1,"0,007",3,,
"0,07","0,274","0,0115","0,004",6,1,"0,007",4,,
"0,07","0,274","0,0115","0,004",6,1,"0,007",5,,
"0,07","0,274","0,0115","0,004",6,1,"0,007",6,,
"0,07","0,274","0,0115","0,004",6,2,0,0,,
"0,07","0,274","0,0115","0,004",6,2,"0,007",1,,
"0,07","0,274","0,0115","0,004",6,2,"0,007",2,,
"0,07","0,274","0,0115","0,004",6,2,"0,007",3,,
"0,07","0,274","0,0115","0,004",6,2,"0,007",4,,
"0,07","0,274","0,0115","0,004",6,2,"0,007",5,,
"0,07","0,274","0,0115","0,004",6,2,"0,007",6,,
"0,07","0,274","0,0115","0,004",6,3,0,0,,
"0,07","0,274","0,0115","0,004",6,3,"0,007",1,,
"0,07","0,274","0,0115","0,004",6,3,"0,007",2,,
"0,07","0,274","0,0115","0,004",6,3,"0,007",3,,
"0,07","0,274","0,0115","0,004",6,3,"0,007",4,,
"0,07","0,274","0,0115","0,004",6,3,"0,007",5,,
"0,07","0,274","0,0115","0,004",6,3,"0,007",6,,
"0,07","0,258","0,0115","0,004",6,0,0,0,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL1
"0,07","0,258","0,0115","0,004",6,"0,164","0,007",1,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL2
"0,07","0,258","0,0115","0,004",6,"0,1395","0,007",2,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL3
"0,07","0,258","0,0115","0,004",6,"0,116","0,007",3,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL4
"0,07","0,258","0,0115","0,004",6,"0,093","0,007",4,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL5
"0,07","0,258","0,0115","0,004",6,"0,068","0,007",5,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL6
"0,07","0,258","0,0115","0,004",6,"0,036","0,007",6,dafnis/dafnisL_L_Minus,aulos_dafnisLMinusL7
"0,07","0,258","0,0115","0,004",6,1,0,0,,
"0,07","0,258","0,0115","0,004",6,1,"0,007",1,,
"0,07","0,258","0,0115","0,004",6,1,"0,007",2,,
"0,07","0,258","0,0115","0,004",6,1,"0,007",3,,
"0,07","0,258","0,0115","0,004",6,1,"0,007",4,,
"0,07","0,258","0,0115","0,004",6,1,"0,007",5,,
"0,07","0,258","0,0115","0,004",6,1,"0,007",6,,
"0,07","0,258","0,0115","0,004",6,2,0,0,,
"0,07","0,258","0,0115","0,004",6,2,"0,007",1,,
"0,07","0,258","0,0115","0,004",6,2,"0,007",2,,
"0,07","0,258","0,0115","0,004",6,2,"0,007",3,,
"0,07","0,258","0,0115","0,004",6,2,"0,007",4,,
"0,07","0,258","0,0115","0,004",6,2,"0,007",5,,
"0,07","0,258","0,0115","0,004",6,2,"0,007",6,,
"0,07","0,258","0,0115","0,004",6,3,0,0,,
"0,07","0,258","0,0115","0,004",6,3,"0,007",1,,
"0,07","0,258","0,0115","0,004",6,3,"0,007",2,,
"0,07","0,258","0,0115","0,004",6,3,"0,007",3,,
"0,07","0,258","0,0115","0,004",6,3,"0,007",4,,
"0,07","0,258","0,0115","0,004",6,3,"0,007",5,,
"0,07","0,258","0,0115","0,004",6,3,"0,007",6,,
"0,07","0,268","0,0115","0,004",6,0,0,0,dafnis/_main_dafnisL,aulos_dafnisL1
"0,07","0,268","0,0115","0,004",6,"0,164","0,007",1,dafnis/_main_dafnisL,aulos_dafnisL2
"0,07","0,268","0,0115","0,004",6,"0,1395","0,007",2,dafnis/_main_dafnisL,aulos_dafnisL3
"0,07","0,268","0,0115","0,004",6,"0,116","0,007",3,dafnis/_main_dafnisL,aulos_dafnisL4
"0,07","0,268","0,0115","0,004",6,"0,093","0,007",4,dafnis/_main_dafnisL,aulos_dafnisL5
"0,07","0,268","0,0115","0,004",6,"0,068","0,007",5,dafnis/_main_dafnisL,aulos_dafnisL6
"0,07","0,268","0,0115","0,004",6,"0,036","0,007",6,dafnis/_main_dafnisL,aulos_dafnisL7
"0,07","0,268","0,0115","0,004",6,1,0,0,,
"0,07","0,268","0,0115","0,004",6,1,"0,007",1,,
"0,07","0,268","0,0115","0,004",6,1,"0,007",2,,
"0,07","0,268","0,0115","0,004",6,1,"0,007",3,,
"0,07","0,268","0,0115","0,004",6,1,"0,007",4,,
"0,07","0,268","0,0115","0,004",6,1,"0,007",5,,
"0,07","0,268","0,0115","0,004",6,1,"0,007",6,,
"0,07","0,268","0,0115","0,004",6,2,0,0,,
"0,07","0,268","0,0115","0,004",6,2,"0,007",1,,
"0,07","0,268","0,0115","0,004",6,2,"0,007",2,,
"0,07","0,268","0,0115","0,004",6,2,"0,007",3,,
"0,07","0,268","0,0115","0,004",6,2,"0,007",4,,
"0,07","0,268","0,0115","0,004",6,2,"0,007",5,,
"0,07","0,268","0,0115","0,004",6,2,"0,007",6,,
"0,07","0,268","0,0115","0,004",6,3,0,0,,
"0,07","0,268","0,0115","0,004",6,3,"0,007",1,,
"0,07","0,268","0,0115","0,004",6,3,"0,007",2,,
"0,07","0,268","0,0115","0,004",6,3,"0,007",3,,
"0,07","0,268","0,0115","0,004",6,3,"0,007",4,,
"0,07","0,268","0,0115","0,004",6,3,"0,007",5,,
"0,07","0,268","0,0115","0,004",6,3,"0,007",6,,
"0,07","0,268","0,0115","0,004",6,0,0,0,,
"0,07","0,268","0,0115","0,004",6,0,"0,007",1,,
"0,07","0,268","0,0115","0,004",6,0,"0,007",2,,
"0,07","0,268","0,0115","0,004",6,0,"0,007",3,,
"0,07","0,268","0,0115","0,004",6,0,"0,007",4,,
"0,07","0,268","0,0115","0,004",6,0,"0,007",5,,
"0,07","0,268","0,0115","0,004",6,0,"0,007",6,,
"0,07","0,268","0,0115","0,004",6,1,0,0,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH1
"0,07","0,268","0,0115","0,004",6,"0,174","0,007",1,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH2
"0,07","0,268","0,0115","0,004",6,"0,1495","0,007",2,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH3
"0,07","0,268","0,0115","0,004",6,"0,126","0,007",3,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH4
"0,07","0,268","0,0115","0,004",6,"0,103","0,007",4,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH5
"0,07","0,268","0,0115","0,004",6,"0,078","0,007",5,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH6
"0,07","0,268","0,0115","0,004",6,"0,046","0,007",6,dafnis/dafnisL_TH_Plus,aulos_dafnisLPlusTH7
"0,07","0,268","0,0115","0,004",6,2,0,0,dafnisL_TH_Plusn,dafnis/aulos_dafnisLPlusnTH1
"0,07","0,268","0,0115","0,004",6,"0,169","0,007",1,dafnis/dafnisL_TH_Plusn,aulos_dafnisLPlusnTH2
"0,07","0,268","0,0115","0,004",6,"0,1445","0,007",2,dafnis/dafnisL_TH_Plusn,aulos_dafnisLPlusnTH3
"0,07","0,268","0,0115","0,004",6,"0,121","0,007",3,dafnis/dafnisL_TH_Plusn,aulos_dafnisLPlusnTH4
"0,07","0,268","0,0115","0,004",6,"0,098","0,007",4,dafnis/dafnisL_TH_Plusn,aulos_dafnisLPlusnTH5
"0,07","0,268","0,0115","0,004",6,"0,073","0,007",5,dafnis/dafnisL_TH_Plusn,aulos_dafnisLPlusnTH6
"0,07","0,268","0,0115","0,004",6,"0,041","0,007",6,dafnis/dafnisL_TH_Plusn,aulos_dafnisLPlusnTH7
"0,07","0,268","0,0115","0,004",6,3,0,0,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH1
"0,07","0,268","0,0115","0,004",6,"0,154","0,007",1,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH2
"0,07","0,268","0,0115","0,004",6,"0,1295","0,007",2,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH3
"0,07","0,268","0,0115","0,004",6,"0,106","0,007",3,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH4
"0,07","0,268","0,0115","0,004",6,"0,083","0,007",4,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH5
"0,07","0,268","0,0115","0,004",6,"0,058","0,007",5,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH6
"0,07","0,268","0,0115","0,004",6,"0,026","0,007",6,dafnis/dafnisL_TH_Minus,aulos_dafnisLMinusTH7
"0,071","0,268","0,0115","0,004",6,0,0,0,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR1
"0,071","0,268","0,0115","0,004",6,"0,164","0,007",1,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR2
"0,071","0,268","0,0115","0,004",6,"0,1395","0,007",2,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR3
"0,071","0,268","0,0115","0,004",6,"0,116","0,007",3,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR4
"0,071","0,268","0,0115","0,004",6,"0,093","0,007",4,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR5
"0,071","0,268","0,0115","0,004",6,"0,068","0,007",5,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR6
"0,071","0,268","0,0115","0,004",6,"0,036","0,007",6,dafnis/dafnisL_R_Plusn,aulos_dafnisLPlusnR7
"0,071","0,268","0,0115","0,004",6,1,0,0,,
"0,071","0,268","0,0115","0,004",6,1,"0,007",1,,
"0,071","0,268","0,0115","0,004",6,1,"0,007",2,,
"0,071","0,268","0,0115","0,004",6,1,"0,007",3,,
"0,071","0,268","0,0115","0,004",6,1,"0,007",4,,
"0,071","0,268","0,0115","0,004",6,1,"0,007",5,,
"0,071","0,268","0,0115","0,004",6,1,"0,007",6,,
"0,071","0,268","0,0115","0,004",6,2,0,0,,
"0,071","0,268","0,0115","0,004",6,2,"0,007",1,,
"0,071","0,268","0,0115","0,004",6,2,"0,007",2,,
"0,071","0,268","0,0115","0,004",6,2,"0,007",3,,
"0,071","0,268","0,0115","0,004",6,2,"0,007",4,,
"0,071","0,268","0,0115","0,004",6,2,"0,007",5,,
"0,071","0,268","0,0115","0,004",6,2,"0,007",6,,
"0,071","0,268","0,0115","0,004",6,3,0,0,,
"0,071","0,268","0,0115","0,004",6,3,"0,007",1,,
"0,071","0,268","0,0115","0,004",6,3,"0,007",2,,
"0,071","0,268","0,0115","0,004",6,3,"0,007",3,,
"0,071","0,268","0,0115","0,004",6,3,"0,007",4,,
"0,071","0,268","0,0115","0,004",6,3,"0,007",5,,
"0,071","0,268","0,0115","0,004",6,3,"0,007",6,,
"0,071","0,278","0,0115","0,004",6,0,0,0,,
"0,071","0,278","0,0115","0,004",6,0,"0,007",1,,
"0,071","0,278","0,0115","0,004",6,0,"0,007",2,,
"0,071","0,278","0,0115","0,004",6,0,"0,007",3,,
"0,071","0,278","0,0115","0,004",6,0,"0,007",4,,
"0,071","0,278","0,0115","0,004",6,0,"0,007",5,,
"0,071","0,278","0,0115","0,004",6,0,"0,007",6,,
"0,071","0,278","0,0115","0,004",6,1,0,0,,
"0,071","0,278","0,0115","0,004",6,1,"0,007",1,,
"0,071","0,278","0,0115","0,004",6,1,"0,007",2,,
"0,071","0,278","0,0115","0,004",6,1,"0,007",3,,
"0,071","0,278","0,0115","0,004",6,1,"0,007",4,,
"0,071","0,278","0,0115","0,004",6,1,"0,007",5,,
"0,071","0,278","0,0115","0,004",6,1,"0,007",6,,
"0,071","0,278","0,0115","0,004",6,2,0,0,,
"0,071","0,278","0,0115","0,004",6,2,"0,007",1,,
"0,071","0,278","0,0115","0,004",6,2,"0,007",2,,
"0,071","0,278","0,0115","0,004",6,2,"0,007",3,,
"0,071","0,278","0,0115","0,004",6,2,"0,007",4,,
"0,071","0,278","0,0115","0,004",6,2,"0,007",5,,
"0,071","0,278","0,0115","0,004",6,2,"0,007",6,,
"0,071","0,278","0,0115","0,004",6,3,0,0,,
"0,071","0,278","0,0115","0,004",6,3,"0,007",1,,
"0,071","0,278","0,0115","0,004",6,3,"0,007",2,,
"0,071","0,278","0,0115","0,004",6,3,"0,007",3,,
"0,071","0,278","0,0115","0,004",6,3,"0,007",4,,
"0,071","0,278","0,0115","0,004",6,3,"0,007",5,,
"0,071","0,278","0,0115","0,004",6,3,"0,007",6,,
"0,071","0,274","0,0115","0,004",6,0,0,0,,
"0,071","0,274","0,0115","0,004",6,0,"0,007",1,,
"0,071","0,274","0,0115","0,004",6,0,"0,007",2,,
"0,071","0,274","0,0115","0,004",6,0,"0,007",3,,
"0,071","0,274","0,0115","0,004",6,0,"0,007",4,,
"0,071","0,274","0,0115","0,004",6,0,"0,007",5,,
"0,071","0,274","0,0115","0,004",6,0,"0,007",6,,
"0,071","0,274","0,0115","0,004",6,1,0,0,,
"0,071","0,274","0,0115","0,004",6,1,"0,007",1,,
"0,071","0,274","0,0115","0,004",6,1,"0,007",2,,
"0,071","0,274","0,0115","0,004",6,1,"0,007",3,,
"0,071","0,274","0,0115","0,004",6,1,"0,007",4,,
"0,071","0,274","0,0115","0,004",6,1,"0,007",5,,
"0,071","0,274","0,0115","0,004",6,1,"0,007",6,,
"0,071","0,274","0,0115","0,004",6,2,0,0,,
"0,071","0,274","0,0115","0,004",6,2,"0,007",1,,
"0,071","0,274","0,0115","0,004",6,2,"0,007",2,,
"0,071","0,274","0,0115","0,004",6,2,"0,007",3,,
"0,071","0,274","0,0115","0,004",6,2,"0,007",4,,
"0,071","0,274","0,0115","0,004",6,2,"0,007",5,,
"0,071","0,274","0,0115","0,004",6,2,"0,007",6,,
"0,071","0,274","0,0115","0,004",6,3,0,0,,
"0,071","0,274","0,0115","0,004",6,3,"0,007",1,,
"0,071","0,274","0,0115","0,004",6,3,"0,007",2,,
"0,071","0,274","0,0115","0,004",6,3,"0,007",3,,
"0,071","0,274","0,0115","0,004",6,3,"0,007",4,,
"0,071","0,274","0,0115","0,004",6,3,"0,007",5,,
"0,071","0,274","0,0115","0,004",6,3,"0,007",6,,
"0,071","0,258","0,0115","0,004",6,0,0,0,,
"0,071","0,258","0,0115","0,004",6,0,"0,007",1,,
"0,071","0,258","0,0115","0,004",6,0,"0,007",2,,
"0,071","0,258","0,0115","0,004",6,0,"0,007",3,,
"0,071","0,258","0,0115","0,004",6,0,"0,007",4,,
"0,071","0,258","0,0115","0,004",6,0,"0,007",5,,
"0,071","0,258","0,0115","0,004",6,0,"0,007",6,,
"0,071","0,258","0,0115","0,004",6,1,0,0,,
"0,071","0,258","0,0115","0,004",6,1,"0,007",1,,
"0,071","0,258","0,0115","0,004",6,1,"0,007",2,,
"0,071","0,258","0,0115","0,004",6,1,"0,007",3,,
"0,071","0,258","0,0115","0,004",6,1,"0,007",4,,
"0,071","0,258","0,0115","0,004",6,1,"0,007",5,,
"0,071","0,258","0,0115","0,004",6,1,"0,007",6,,
"0,071","0,258","0,0115","0,004",6,2,0,0,,
"0,071","0,258","0,0115","0,004",6,2,"0,007",1,,
"0,071","0,258","0,0115","0,004",6,2,"0,007",2,,
"0,071","0,258","0,0115","0,004",6,2,"0,007",3,,
"0,071","0,258","0,0115","0,004",6,2,"0,007",4,,
"0,071","0,258","0,0115","0,004",6,2,"0,007",5,,
"0,071","0,258","0,0115","0,004",6,2,"0,007",6,,
"0,071","0,258","0,0115","0,004",6,3,0,0,,
"0,071","0,258","0,0115","0,004",6,3,"0,007",1,,
"0,071","0,258","0,0115","0,004",6,3,"0,007",2,,
"0,071","0,258","0,0115","0,004",6,3,"0,007",3,,
"0,071","0,258","0,0115","0,004",6,3,"0,007",4,,
"0,071","0,258","0,0115","0,004",6,3,"0,007",5,,
"0,071","0,258","0,0115","0,004",6,3,"0,007",6,,
"0,09","0,268","0,0115","0,004",6,0,0,0,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR1
"0,09","0,268","0,0115","0,004",6,"0,164","0,007",1,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR2
"0,09","0,268","0,0115","0,004",6,"0,1395","0,007",2,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR3
"0,09","0,268","0,0115","0,004",6,"0,116","0,007",3,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR4
"0,09","0,268","0,0115","0,004",6,"0,093","0,007",4,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR5
"0,09","0,268","0,0115","0,004",6,"0,068","0,007",5,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR6
"0,09","0,268","0,0115","0,004",6,"0,036","0,007",6,dafnis/dafnisL_R_Plus,aulos_dafnisLPlusR7
"0,09","0,268","0,0115","0,004",6,1,0,0,,
"0,09","0,268","0,0115","0,004",6,1,"0,007",1,,
"0,09","0,268","0,0115","0,004",6,1,"0,007",2,,
"0,09","0,268","0,0115","0,004",6,1,"0,007",3,,
"0,09","0,268","0,0115","0,004",6,1,"0,007",4,,
"0,09","0,268","0,0115","0,004",6,1,"0,007",5,,
"0,09","0,268","0,0115","0,004",6,1,"0,007",6,,
"0,09","0,268","0,0115","0,004",6,2,0,0,,
"0,09","0,268","0,0115","0,004",6,2,"0,007",1,,
"0,09","0,268","0,0115","0,004",6,2,"0,007",2,,
"0,09","0,268","0,0115","0,004",6,2,"0,007",3,,
"0,09","0,268","0,0115","0,004",6,2,"0,007",4,,
"0,09","0,268","0,0115","0,004",6,2,"0,007",5,,
"0,09","0,268","0,0115","0,004",6,2,"0,007",6,,
"0,09","0,268","0,0115","0,004",6,3,0,0,,
"0,09","0,268","0,0115","0,004",6,3,"0,007",1,,
"0,09","0,268","0,0115","0,004",6,3,"0,007",2,,
"0,09","0,268","0,0115","0,004",6,3,"0,007",3,,
"0,09","0,268","0,0115","0,004",6,3,"0,007",4,,
"0,09","0,268","0,0115","0,004",6,3,"0,007",5,,
"0,09","0,268","0,0115","0,004",6,3,"0,007",6,,
"0,09","0,278","0,0115","0,004",6,0,0,0,,
"0,09","0,278","0,0115","0,004",6,0,"0,007",1,,
"0,09","0,278","0,0115","0,004",6,0,"0,007",2,,
"0,09","0,278","0,0115","0,004",6,0,"0,007",3,,
"0,09","0,278","0,0115","0,004",6,0,"0,007",4,,
"0,09","0,278","0,0115","0,004",6,0,"0,007",5,,
"0,09","0,278","0,0115","0,004",6,0,"0,007",6,,
"0,09","0,278","0,0115","0,004",6,1,0,0,,
"0,09","0,278","0,0115","0,004",6,1,"0,007",1,,
"0,09","0,278","0,0115","0,004",6,1,"0,007",2,,
"0,09","0,278","0,0115","0,004",6,1,"0,007",3,,
"0,09","0,278","0,0115","0,004",6,1,"0,007",4,,
"0,09","0,278","0,0115","0,004",6,1,"0,007",5,,
"0,09","0,278","0,0115","0,004",6,1,"0,007",6,,
"0,09","0,278","0,0115","0,004",6,2,0,0,,
"0,09","0,278","0,0115","0,004",6,2,"0,007",1,,
"0,09","0,278","0,0115","0,004",6,2,"0,007",2,,
"0,09","0,278","0,0115","0,004",6,2,"0,007",3,,
"0,09","0,278","0,0115","0,004",6,2,"0,007",4,,
"0,09","0,278","0,0115","0,004",6,2,"0,007",5,,
"0,09","0,278","0,0115","0,004",6,2,"0,007",6,,
"0,09","0,278","0,0115","0,004",6,3,0,0,,
"0,09","0,278","0,0115","0,004",6,3,"0,007",1,,
"0,09","0,278","0,0115","0,004",6,3,"0,007",2,,
"0,09","0,278","0,0115","0,004",6,3,"0,007",3,,
"0,09","0,278","0,0115","0,004",6,3,"0,007",4,,
"0,09","0,278","0,0115","0,004",6,3,"0,007",5,,
"0,09","0,278","0,0115","0,004",6,3,"0,007",6,,
"0,09","0,274","0,0115","0,004",6,0,0,0,,
"0,09","0,274","0,0115","0,004",6,0,"0,007",1,,
"0,09","0,274","0,0115","0,004",6,0,"0,007",2,,
"0,09","0,274","0,0115","0,004",6,0,"0,007",3,,
"0,09","0,274","0,0115","0,004",6,0,"0,007",4,,
"0,09","0,274","0,0115","0,004",6,0,"0,007",5,,
"0,09","0,274","0,0115","0,004",6,0,"0,007",6,,
"0,09","0,274","0,0115","0,004",6,1,0,0,,
"0,09","0,274","0,0115","0,004",6,1,"0,007",1,,
"0,09","0,274","0,0115","0,004",6,1,"0,007",2,,
"0,09","0,274","0,0115","0,004",6,1,"0,007",3,,
"0,09","0,274","0,0115","0,004",6,1,"0,007",4,,
"0,09","0,274","0,0115","0,004",6,1,"0,007",5,,
"0,09","0,274","0,0115","0,004",6,1,"0,007",6,,
"0,09","0,274","0,0115","0,004",6,2,0,0,,
"0,09","0,274","0,0115","0,004",6,2,"0,007",1,,
"0,09","0,274","0,0115","0,004",6,2,"0,007",2,,
"0,09","0,274","0,0115","0,004",6,2,"0,007",3,,
"0,09","0,274","0,0115","0,004",6,2,"0,007",4,,
"0,09","0,274","0,0115","0,004",6,2,"0,007",5,,
"0,09","0,274","0,0115","0,004",6,2,"0,007",6,,
"0,09","0,274","0,0115","0,004",6,3,0,0,,
"0,09","0,274","0,0115","0,004",6,3,"0,007",1,,
"0,09","0,274","0,0115","0,004",6,3,"0,007",2,,
"0,09","0,274","0,0115","0,004",6,3,"0,007",3,,
"0,09","0,274","0,0115","0,004",6,3,"0,007",4,,
"0,09","0,274","0,0115","0,004",6,3,"0,007",5,,
"0,09","0,274","0,0115","0,004",6,3,"0,007",6,,
"0,09","0,258","0,0115","0,004",6,0,0,0,,
"0,09","0,258","0,0115","0,004",6,0,"0,007",1,,
"0,09","0,258","0,0115","0,004",6,0,"0,007",2,,
"0,09","0,258","0,0115","0,004",6,0,"0,007",3,,
"0,09","0,258","0,0115","0,004",6,0,"0,007",4,,
"0,09","0,258","0,0115","0,004",6,0,"0,007",5,,
"0,09","0,258","0,0115","0,004",6,0,"0,007",6,,
"0,09","0,258","0,0115","0,004",6,1,0,0,,
"0,09","0,258","0,0115","0,004",6,1,"0,007",1,,
"0,09","0,258","0,0115","0,004",6,1,"0,007",2,,
"0,09","0,258","0,0115","0,004",6,1,"0,007",3,,
"0,09","0,258","0,0115","0,004",6,1,"0,007",4,,
"0,09","0,258","0,0115","0,004",6,1,"0,007",5,,
"0,09","0,258","0,0115","0,004",6,1,"0,007",6,,
"0,09","0,258","0,0115","0,004",6,2,0,0,,
"0,09","0,258","0,0115","0,004",6,2,"0,007",1,,
"0,09","0,258","0,0115","0,004",6,2,"0,007",2,,
"0,09","0,258","0,0115","0,004",6,2,"0,007",3,,
"0,09","0,258","0,0115","0,004",6,2,"0,007",4,,
"0,09","0,258","0,0115","0,004",6,2,"0,007",5,,
"0,09","0,258","0,0115","0,004",6,2,"0,007",6,,
"0,09","0,258","0,0115","0,004",6,3,0,0,,
"0,09","0,258","0,0115","0,004",6,3,"0,007",1,,
"0,09","0,258","0,0115","0,004",6,3,"0,007",2,,
"0,09","0,258","0,0115","0,004",6,3,"0,007",3,,
"0,09","0,258","0,0115","0,004",6,3,"0,007",4,,
"0,09","0,258","0,0115","0,004",6,3,"0,007",5,,
"0,09","0,258","0,0115","0,004",6,3,"0,007",6,,
"0,05","0,268","0,0115","0,004",6,0,0,0,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR1
"0,05","0,268","0,0115","0,004",6,"0,164","0,007",1,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR2
"0,05","0,268","0,0115","0,004",6,"0,1395","0,007",2,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR3
"0,05","0,268","0,0115","0,004",6,"0,116","0,007",3,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR4
"0,05","0,268","0,0115","0,004",6,"0,093","0,007",4,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR5
"0,05","0,268","0,0115","0,004",6,"0,068","0,007",5,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR6
"0,05","0,268","0,0115","0,004",6,"0,036","0,007",6,dafnis/dafnisL_R_Minus,aulos_dafnisLMinusR7
"0,05","0,268","0,0115","0,004",6,1,0,0,,
"0,05","0,268","0,0115","0,004",6,1,"0,007",1,,
"0,05","0,268","0,0115","0,004",6,1,"0,007",2,,
"0,05","0,268","0,0115","0,004",6,1,"0,007",3,,
"0,05","0,268","0,0115","0,004",6,1,"0,007",4,,
"0,05","0,268","0,0115","0,004",6,1,"0,007",5,,
"0,05","0,268","0,0115","0,004",6,1,"0,007",6,,
"0,05","0,268","0,0115","0,004",6,2,0,0,,
"0,05","0,268","0,0115","0,004",6,2,"0,007",1,,
